algorithm,heuristic,rows,cols,obstacle_ratio,seed,runtime,expanded,path_cost,found,used_seed
astar,octile,30,30,0.2,13,0.00011608300701482221,83,58.0,1,13
ucs,,30,30,0.2,21,0.0005857079959241673,713,58.0,1,21
greedy,manhattan,30,30,0.2,21,6.808299804106355e-05,72,66.0,1,21
astar,manhattan,30,30,0.2,21,0.000494707994221244,514,58.0,1,21
greedy,euclidean,30,30,0.2,21,7.204199937405065e-05,61,58.0,1,21
astar,euclidean,30,30,0.2,21,0.0005778330014436506,660,58.0,1,21
greedy,chebyshev,30,30,0.2,21,7.966600242070854e-05,61,58.0,1,21
astar,chebyshev,30,30,0.2,21,0.0006493339969892986,672,58.0,1,21
greedy,octile,30,30,0.2,21,9.308299922849983e-05,72,66.0,1,21
astar,octile,30,30,0.2,21,0.00013941699580755085,102,58.0,1,21
ucs,,30,30,0.2,42,0.0005433750047814101,716,58.0,1,42
greedy,manhattan,30,30,0.2,42,9.158299508271739e-05,100,86.0,1,42
astar,manhattan,30,30,0.2,42,0.00039487499452661723,409,58.0,1,42
greedy,euclidean,30,30,0.2,42,7.000000186963007e-05,60,58.0,1,42
astar,euclidean,30,30,0.2,42,0.0005512500065378845,634,58.0,1,42
greedy,chebyshev,30,30,0.2,42,6.991600093897432e-05,60,58.0,1,42
astar,chebyshev,30,30,0.2,42,0.0006169999978737906,651,58.0,1,42
greedy,octile,30,30,0.2,42,0.0001319170041824691,101,88.0,1,42
astar,octile,30,30,0.2,42,0.00014712499978486449,112,60.0,1,42
ucs,,40,40,0.2,1,0.0009868340057437308,1271,78.0,1,2
greedy,manhattan,40,40,0.2,1,9.445799514651299e-05,104,96.0,1,2
astar,manhattan,40,40,0.2,1,0.0006712909962516278,663,78.0,1,2
greedy,euclidean,40,40,0.2,1,9.266599954571575e-05,82,80.0,1,2
astar,euclidean,40,40,0.2,1,0.0009912499954225495,1071,78.0,1,2
greedy,chebyshev,40,40,0.2,1,0.00010120899969479069,82,80.0,1,2
astar,chebyshev,40,40,0.2,1,0.0014459579979302362,1110,78.0,1,2
greedy,octile,40,40,0.2,1,0.00016970900469459593,112,98.0,1,2
astar,octile,40,40,0.2,1,0.00021470800129463896,149,78.0,1,2
ucs,,40,40,0.2,7,0.0010995829943567514,1280,78.0,1,7
greedy,manhattan,40,40,0.2,7,0.00010704199667088687,97,86.0,1,7
astar,manhattan,40,40,0.2,7,0.0009407499965163879,848,78.0,1,7
greedy,euclidean,40,40,0.2,7,9.641599899623543e-05,86,80.0,1,7
astar,euclidean,40,40,0.2,7,0.001052958999935072,1161,78.0,1,7
greedy,chebyshev,40,40,0.2,7,9.916600538417697e-05,84,80.0,1,7
astar,chebyshev,40,40,0.2,7,0.001218291996337939,1188,78.0,1,7
greedy,octile,40,40,0.2,7,0.00013891699927626178,95,88.0,1,7
astar,octile,40,40,0.2,7,0.00031837500137044117,235,80.0,1,7
ucs,,40,40,0.2,13,0.0009694999971543439,1276,78.0,1,13
greedy,manhattan,40,40,0.2,13,0.00011937499948544428,133,96.0,1,13
astar,manhattan,40,40,0.2,13,0.0006472079985542223,658,78.0,1,13
greedy,euclidean,40,40,0.2,13,0.00010145799751626328,83,78.0,1,13
astar,euclidean,40,40,0.2,13,0.0009594169969204813,1031,78.0,1,13
greedy,chebyshev,40,40,0.2,13,0.00010666700109140947,85,78.0,1,13
astar,chebyshev,40,40,0.2,13,0.0010484169979463331,1067,78.0,1,13
greedy,octile,40,40,0.2,13,0.00018179199832957238,135,96.0,1,13
astar,octile,40,40,0.2,13,0.00028879100136691704,195,80.0,1,13
ucs,,40,40,0.2,21,0.001046707999194041,1275,78.0,1,22
greedy,manhattan,40,40,0.2,21,0.00010608300362946466,93,88.0,1,22
astar,manhattan,40,40,0.2,21,0.0006877500054542907,688,78.0,1,22
greedy,euclidean,40,40,0.2,21,9.35829957597889e-05,81,80.0,1,22
astar,euclidean,40,40,0.2,21,0.00106683299964061,1149,78.0,1,22
greedy,chebyshev,40,40,0.2,21,9.412500367034227e-05,81,80.0,1,22
astar,chebyshev,40,40,0.2,21,0.0011594590032473207,1179,78.0,1,22
greedy,octile,40,40,0.2,21,0.00012879200221505016,97,90.0,1,22
astar,octile,40,40,0.2,21,0.00028537500475067645,221,84.0,1,22
ucs,,40,40,0.2,42,0.0009729579978738911,1275,78.0,1,42
greedy,manhattan,40,40,0.2,42,0.0001233750008395873,122,112.0,1,42
astar,manhattan,40,40,0.2,42,0.0009244999964721501,911,78.0,1,42
greedy,euclidean,40,40,0.2,42,9.958300506696105e-05,90,82.0,1,42
astar,euclidean,40,40,0.2,42,0.0010346659983042628,1173,78.0,1,42
greedy,chebyshev,40,40,0.2,42,0.00010358299914514646,93,86.0,1,42
astar,chebyshev,40,40,0.2,42,0.0012516670030890964,1193,78.0,1,42
